orig_toxic,orig_neutral,toxic_comment,neutral_comment,lang,tt_toxic_new,tt_neutral_new,sim_score,toxic_score,neutral_score
"сериал просто пиздец, других слов нет. глянь. лично мне прочно въелся в душу.",Сериал мне прочно въелся в душу.,"Серия бары тик алдан ясалган, бүтән сүзләр юк. кара. Шәхсән ул минем җанымга нык тамырланган.",Серияләр минем җанымга тирән кереп киттеләр.,tt,"сериал просто пиздец, других слов нет. глянь. лично мне прочно въелся в душу.",сериал мне прочно въелся в душу.,0.733892560005188,0.8468565940856934,0.003001570701599121
ты хоть слова меняй хуйло одноклеточное. одну и ту же хуйню кукарекаешь.,ты хоть слова меняй. одно и то же говоришь.,"Leastичшиксез, сүзләрегезне үзгәртегез, сез бер күзәнәкле бук кисәге. Сез шул ук букны кычкыруны дәвам итәсез.",Ник дигәндә сүзләрне үзгәртегез. сез дә бер үк сүзләр әйтәсез.,tt,ты хоть слова меняй хуйло одноклеточное. одну һәм ту же хуйню кукарекаешь.,ты хоть слова меняй. одно һәм то же говоришь.,0.6682658195495605,0.00567251443862915,0.018110156059265137
ты хоть слова меняй хуйло одноклеточное. одну и ту же хуйню кукарекаешь.,Ты хоть слова меняй. Одну и ту же ерунду говоришь,"Leastичшиксез, сүзләрегезне үзгәртегез, сез бер күзәнәкле бук кисәге. Сез шул ук букны кычкыруны дәвам итәсез.",Ник дигәндә сүзләрне үзгәртегез. Сез дә бер үк мәгънәсез сүз әйтәсез,tt,ты хоть слова меняй хуйло одноклеточное. одну һәм ту же хуйню кукарекаешь.,ты хоть слова меняй. одну һәм ту же ерунду говоришь,0.6682658195495605,0.00567251443862915,0.012194275856018066
"У вас либо золото хреновое, либо букеты из аленьких цветочков, добытых у чудовища.","У вас либо золото плохое, либо букеты из аленьких цветочков, добытых у чудовища","Сездә кыйммәтсез алтын, яисә монстрдан алынган кызыл чәчәк бәйләмнәре бар.","Сездә начар алтын, яисә монстрдан алынган кызыл чәчәк бәйләмнәре бар",tt,"у вас либо золото хреновое, либо букеты из аленьких цветочков, добытых у чудовища.","у вас либо золото плохое, либо букеты из аленьких цветочков, добытых у чудовища",0.8331366181373596,0.008368909358978271,0.008636713027954102
хуйло как и его покровители,"Плохой человек, как и его покровители",аның меценатлары кебек бук,"Начар кеше, аның меценатлары кебек",tt,хуйло как һәм его покровители,"плохой человек, как һәм его покровители",0.7181598544120789,0.001723647117614746,0.9890041947364807
"тоже так думаю. честн- ёбань. не понимаю , кто так пишет. честно- пидарас",Тоже так думаю. Не понимаю кто так пишет,Мин дә шулай уйлыйм. намус белән - төрү. Мин моны кем язганын аңламыйм. намус белән - фагот,Мин дә шулай уйлыйм. Мин моны кем язганын аңламыйм,tt,"тоже так думаю. честн- ёбань. түгел понимаю , кто так пишет. честно- пидарас",тоже так думаю. түгел понимаю кто так пишет,0.885359525680542,0.02753734588623047,0.9747087955474854
"тоже так думаю. честн- ёбань. не понимаю , кто так пишет. честно- пидарас","тоже так думаю. не понимаю , кто так пишет.",Мин дә шулай уйлыйм. намус белән - төрү. Мин моны кем язганын аңламыйм. намус белән - фагот,Мин дә шулай уйлыйм. Мин моны кем язганын аңламыйм.,tt,"тоже так думаю. честн- ёбань. түгел понимаю , кто так пишет. честно- пидарас","тоже так думаю. түгел понимаю , кто так пишет.",0.885359525680542,0.02753734588623047,0.9309931993484497
"Трамп, кстати, наименее фашиствующий из них","Трамп, кстати, наименее плохой из них","Әйткәндәй, Трамп алар арасында иң кечкенә фашист","Әйткәндәй, Трамп алардан иң начар",tt,"трамп, кстати, наименее фашиствующий из них","трамп, кстати, наименее плохой из них",0.8479393720626831,0.9971342086791992,0.9978679418563843
хуйня шо больше показать нечего,Мне не понравилось. Что больше показать нечего ?,"крап, күрсәтерлек бернәрсә дә юк",Миңа ошамады. Күрсәтерлек нәрсә юкмы?,tt,хуйня шо больше показать нечего,мне түгел понравилось. нәрсә больше показать нечего ?,0.6452939510345459,0.06602859497070312,0.7807669639587402
хуйня шо больше показать нечего,шо больше показать нечего,"крап, күрсәтерлек бернәрсә дә юк",күрсәтерлек бернәрсә дә юк,tt,хуйня шо больше показать нечего,шо больше показать нечего,0.6452939510345459,0.06602859497070312,0.9914608001708984
хуйня шо больше показать нечего,Больше показать нечего,"крап, күрсәтерлек бернәрсә дә юк",Күрсәтерлек бернәрсә дә юк,tt,хуйня шо больше показать нечего,больше показать нечего,0.6452939510345459,0.06602859497070312,0.05158442258834839
"ожиревшее, охуевший ,тупое мурло. догадаетесь, чьи помыслы они вещают. правильно , пыни батюшки.","Догадаетесь, чьи мысли они вещают. Правильно. Пыни батюшки","симез, акылсыз, ахмак кружка. кемнең уйларын җиткергәнен чамалый аласыз. бу дөрес, әти.",Аларның уйларын таратуларын чамалый аласыз. Дөрес. Әти ботаклары,tt,"ожиревшее, охуевший ,тупое мурло. догадаетесь, чьи помыслы они вещают. правильно , пыни батюшки.","догадаетесь, чьи мысли они вещают. правильно. пыни батюшки",0.7120079398155212,0.9993202686309814,0.9987819790840149
заебали этой хуйнёй. неужели больше нечем заняться?,Неужели больше нечем заняться?,бу бишек белән. Башка эш юк микән?,Башка эш юк микән?,tt,заебали этой хуйнёй. неужели больше нечем заняться?,неужели больше нечем заняться?,0.728573203086853,0.9984089732170105,0.9947393536567688
ну и пиздец вам ребята. ждите гостей!!!,"Крышка вам,ребята.Ждите гостей!","Ну, егетләр. кунакларны көтегез !!!",Егетләр. Кунакларны көтегез!,tt,ну һәм пиздец вам ребята. ждите гостей!!!,"крышка вам,ребята.ждите гостей!",0.8275858759880066,0.9993232488632202,0.011137247085571289
ну и пиздец вам ребята. ждите гостей!!!,"ну и конец вам ребята, ждите гостей!!!","Ну, егетләр. кунакларны көтегез !!!","Хәер, бу сезнең өчен, кунакларны көтегез !!!",tt,ну һәм пиздец вам ребята. ждите гостей!!!,"ну һәм конец вам ребята, ждите гостей!!!",0.8275858759880066,0.9993232488632202,0.9986526966094971
это люди которых дрочили в детстве чморили а теперь они вот так отрываются пида.... сы,"Это люди, которых обижали в детстве и теперь они отрываются","Бу кешеләр - балалар кебек куркып калганнар, винтланганнар һәм хәзер алар шундый шартлау кичерәләр .... sy","Бу кешеләр балалар кебек җәберләнгән кешеләр, хәзер алар аерыла.",tt,бу кешеләр которых дрочили в детстве чморили а теперь они вот так отрываются пида.... сы,"бу кешеләр, которых обижали в детстве һәм теперь они отрываются",0.7249510288238525,0.9959314465522766,0.9554409384727478
"пиндосы-пидарасы ау!!! как там в жопе не печёт!!!??? а нука прекратите разгонять мирных протестующих!!!! где сука, толерантность и демократия!!!????",а ну-ка прекратите разгонять мирных протестующих!!! где толерантность и демократия!!!????,"Pindos-fags ow !!! Ничек ул ишәктә янмый !!! ??? Әйдә, тыныч протестчыларны таратуны туктатыгыз !!!! кайда канчык, толерантлык һәм демократия !!! ????","әйдә, тыныч протестчыларны таратуны туктатыгыз !!! кайда толерантлык һәм демократия !!! ????",tt,"пиндосы-пидарасы ау!!! как там в жопе түгел печёт!!!??? а нука прекратите разгонять мирных протестующих!!!! кайда сука, толерантность һәм демократия!!!????",а ну-ка прекратите разгонять мирных протестующих!!! кайда толерантность һәм демократия!!!????,0.8537716865539551,0.999480664730072,0.030801713466644287
"пиндосы-пидарасы ау!!! как там в жопе не печёт!!!??? а нука прекратите разгонять мирных протестующих!!!! где сука, толерантность и демократия!!!????","Хватит разгонять мирных протестующих, где толерантность и демократия","Pindos-fags ow !!! Ничек ул ишәктә янмый !!! ??? Әйдә, тыныч протестчыларны таратуны туктатыгыз !!!! кайда канчык, толерантлык һәм демократия !!! ????","Тыныч протестчыларны таратуны туктатыгыз, толерантлык һәм демократия кайда?",tt,"пиндосы-пидарасы ау!!! как там в жопе түгел печёт!!!??? а нука прекратите разгонять мирных протестующих!!!! кайда сука, толерантность һәм демократия!!!????","хватит разгонять мирных протестующих, кайда толерантность һәм демократия",0.8537716865539551,0.999480664730072,0.001557767391204834
Байкеры уже не те ряяя,Байкеры уже не те,Велосипедчылар бер үк түгел,Велосипедчылар бер үк түгел,tt,байкеры уже түгел те ряяя,байкеры уже түгел те,0.6948922872543335,0.9182257056236267,0.9182257056236267
и это наша интеллигенция и это чмо нам для подражания?,И это наша интеллигенция и это нам для подражания?,һәм бу безнең интеллигенция һәм без иярергә тиеш шмук?,Бу безнең интеллигенция һәм без нәрсәгә иярергә тиеш?,tt,һәм бу наша интеллигенция һәм бу чмо нам для подражания?,һәм бу наша интеллигенция һәм бу нам для подражания?,0.8533144593238831,0.9993576407432556,0.13463211059570312
расскажи нам про усраину пидор ?,Расскажи нам про Украину,безгә Украина фаг турында әйтегез?,Украина турында сөйләгез,tt,расскажи нам про усраину пидор ?,расскажи нам про украину,0.6927590370178223,0.0028968453407287598,0.000991225242614746
расскажи нам про усраину пидор ?,расскажи нам про украину ?,безгә Украина фаг турында әйтегез?,Украина турында әйтегез?,tt,расскажи нам про усраину пидор ?,расскажи нам про украину ?,0.6927590370178223,0.0028968453407287598,0.002440810203552246
долбоёбы....там 10 миллионов населения и половина из них приезжие рабчие.,там 10 миллионов населения и половина из них приезжие рабочие,"ахмаклар .... анда 10 миллион кеше бар, аларның яртысы эшчеләргә килә.",10 миллион кеше бар һәм аларның яртысы мигрантлар,tt,долбоёбы....там 10 миллионов населения һәм половина из них приезжие рабчие.,там 10 миллионов населения һәм половина из них приезжие рабочие,0.8728463649749756,0.008932650089263916,0.9490476250648499
фу. какие мерзкие три морды!!,Как отталкивающе выглядят эти три господина.,уг. нинди җирәнгеч өч йөз !!,Бу өч әфәнде ничек җирәнгеч.,tt,фу. какие мерзкие три морды!!,как отталкивающе выглядят эти три господина.,0.7617741823196411,0.9966922998428345,0.9977558255195618
"кто не курит и не пьет,сука нудный бля пидзец..","кто не курит и не пьет, очень скучный","тәмәке тартмаган һәм эчмәгән кеше - күңелсез, кызыксыз карчык ..",тәмәке тартмаган һәм эчмәгән кеше бик күңелсез,tt,"кто түгел курит һәм түгел пьет,сука нудный бля пидзец..","кто түгел курит һәм түгел пьет, очень скучный",0.830394983291626,0.6600778102874756,0.39711815118789673
Больной ублюдок.jpeg Как так можно? Самостоятельно лишать себя одного из главных удовольствий в жизни: пожрать что-то перед телек.,Как так можно? Самостоятельно лишать себя одного из главных удовольствий в жизни: пожрать что-то перед телеком,Авыру bastard.jpeg Бу ничек мөмкин? Lifeзегезне тормыштагы төп ләззәтләрдән мәхрүм итегез: телевизор алдында нәрсәдер ашау.,Бу ничек мөмкин? Lifeзегезне тормыштагы төп ләззәтләрдән мәхрүм итү: телевизор алдында нәрсәдер ашау,tt,больной ублюдок.jpeg как так можно? самостоятельно лишать себя одного из главных удовольствий в жизни: пожрать нәрсә-то перед телек.,как так можно? самостоятельно лишать себя одного из главных удовольствий в жизни: пожрать нәрсә-то перед телеком,0.8034332990646362,0.9874919652938843,0.9924613833427429
Больной ублюдок.jpeg Как так можно? Самостоятельно лишать себя одного из главных удовольствий в жизни: пожрать что-то перед телек.,Как так можно? Самостоятельно лишать себя одного из главных удовольствий в жизни: покушать что-то перед телевизором.,Авыру bastard.jpeg Бу ничек мөмкин? Lifeзегезне тормыштагы төп ләззәтләрдән мәхрүм итегез: телевизор алдында нәрсәдер ашау.,Бу ничек мөмкин? Lifeзегезне тормыштагы төп ләззәтләрдән мәхрүм итегез: телевизор алдында нәрсәдер ашау.,tt,больной ублюдок.jpeg как так можно? самостоятельно лишать себя одного из главных удовольствий в жизни: пожрать нәрсә-то перед телек.,как так можно? самостоятельно лишать себя одного из главных удовольствий в жизни: покушать нәрсә-то перед телевизором.,0.8034332990646362,0.9874919652938843,0.9959982633590698
Жириновский очень точно сформулировала лозунг отечественного ресентимента.,Жириновский очень точно сформулировал лозунг отечественного ресентимента,Жириновский эчке рецентимент лозунгын бик төгәл формалаштырды.,Жириновский эчке рецентимент лозунгын бик төгәл формалаштырды,tt,жириновский очень точно сформулировала лозунг отечественного ресентимента.,жириновский очень точно сформулировал лозунг отечественного ресентимента,0.8527259826660156,0.5927044153213501,0.02761518955230713
"чего это ты там такого делаешь, что у котейки во взгляде такие флешбэки?","Что это ты там делаешь, что у кота такой взгляд?","Монда нәрсә эшлисез, мәче аның күзләрендә шундый флешкалар бар?",Мәче шундый булып нәрсә эшлисез?,tt,"чего бу ты там такого делаешь, нәрсә у котейки во взгляде такие флешбэки?","нәрсә бу ты там делаешь, нәрсә у кота такой взгляд?",0.8310244083404541,0.9822254180908203,0.9377108216285706
"чего это ты там такого делаешь, что у котейки во взгляде такие флешбэки?","Чего это ты там такого делаешь, что кошки во взгляде такие флешбеки?","Монда нәрсә эшлисез, мәче аның күзләрендә шундый флешкалар бар?","Сез анда нәрсә эшлисез, мәчеләр флешкаларга охшаган?",tt,"чего бу ты там такого делаешь, нәрсә у котейки во взгляде такие флешбэки?","чего бу ты там такого делаешь, нәрсә кошки во взгляде такие флешбеки?",0.8310244083404541,0.9822254180908203,0.9944135546684265
я не пойму модельер пошутил или поиздевался над дебилами!,я не пойму модельер пошутил или поиздевался,"Мин аңламыйм, дизайнер шаяртканмы, мыскыллаганмы?","Мин аңламыйм, дизайнер шаярттымы, мыскыл иттеме",tt,я түгел пойму модельер пошутил или поиздевался над дебилами!,я түгел пойму модельер пошутил или поиздевался,0.7376221418380737,0.0034962892532348633,0.7454207539558411
я не пойму модельер пошутил или поиздевался над дебилами!,Я не пойму - модельер пошутил или поиздевался?,"Мин аңламыйм, дизайнер шаяртканмы, мыскыллаганмы?","Мин аңламыйм - мода дизайнеры шаярттымы, мыскыл иттеме?",tt,я түгел пойму модельер пошутил или поиздевался над дебилами!,я түгел пойму - модельер пошутил или поиздевался?,0.7376221418380737,0.0034962892532348633,0.18192845582962036
я не пойму модельер пошутил или поиздевался над дебилами!,я не пойму модельер пошутил или поиздевался над людьми,"Мин аңламыйм, дизайнер шаяртканмы, мыскыллаганмы?","Мин аңламыйм, дизайнер кешеләрне шаяртканмы, көлдергәнме",tt,я түгел пойму модельер пошутил или поиздевался над дебилами!,я түгел пойму модельер пошутил или поиздевался над людьми,0.7376221418380737,0.0034962892532348633,0.010765671730041504
"сучий артист, пидораззззз специально так делает.","Артист, специально так делает.","канчык рәссам, фагот моны максат белән эшли.",Рәссам моны максат белән эшли.,tt,"сучий артист, пидораззззз специально так делает.","артист, специально так делает.",0.6433268189430237,0.004213869571685791,0.0008664727210998535
"сучий артист, пидораззззз специально так делает.","Артист,специально так делает","канчык рәссам, фагот моны максат белән эшли.",Рәссам моны максат белән эшли,tt,"сучий артист, пидораззззз специально так делает.","артист,специально так делает",0.6433268189430237,0.004213869571685791,0.0008692145347595215
"сучий артист, пидораззззз специально так делает.",Специально так делает,"канчык рәссам, фагот моны максат белән эшли.",Ул моны максат белән эшли,tt,"сучий артист, пидораззззз специально так делает.",специально так делает,0.6433268189430237,0.004213869571685791,0.0007592439651489258
да кто так думает полный придурок миллион лайков бы поставила,Так думают только глупые люди миллион лайков бы поставила,"кем бу тулы морон дип уйласа, мин миллион ошар идем",Акылсыз кешеләр генә мин миллион ошый дип уйлыйлар,tt,да кто так думает полный придурок миллион лайков бы поставила,так думают только глупые кешеләр миллион лайков бы поставила,0.744329571723938,0.9994876384735107,0.9994725584983826
дебил нельзя белова лебедя стрелять тебе башку прострелить,Нельзя стрелять в белого лебедя,"морон, сез Белов аккошын ата алмыйсыз, сез башка атылырсыз",Сез ак аккошны ата алмыйсыз,tt,дебил нельзя белова лебедя стрелять тебе башку прострелить,нельзя стрелять в белого лебедя,0.5536190271377563,0.9949098229408264,0.9986072182655334
Фолач - дропнул Сталкера - дропнул пиздец бля,Фолач-победил Сталкера!,Фолах - Сталкерны ташлады - шакмакны ташлады,Фолах Сталкерны җиңде!,tt,фолач - дропнул сталкера - дропнул пиздец бля,фолач-победил сталкера!,0.8227895498275757,0.995549201965332,0.959172248840332
Фолач - дропнул Сталкера - дропнул пиздец бля,Фолач - дропнул Сталкера - дропнул,Фолах - Сталкерны ташлады - шакмакны ташлады,Фолах - Сталкерны ташлады - төште,tt,фолач - дропнул сталкера - дропнул пиздец бля,фолач - дропнул сталкера - дропнул,0.8227895498275757,0.995549201965332,0.001975417137145996
Чому при 400 онлайне у хрюкана чатик такой дохловатый? Не накрутил ли он онлаен?,Почему при 400 онлайне у него чатик такой неактивный? Не накрутил ли он онлайн?,Ни өчен грант чаты 400 онлайн белән шулкадәр зәгыйфь? Ул онлайнда алдамадымы?,Ни өчен аның чаты 400 онлайн белән актив түгел? Ул онлайнда алдадымы?,tt,чому при 400 онлайне у хрюкана чатик такой дохловатый? түгел накрутил ли ул онлаен?,ни өчен при 400 онлайне у него чатик такой неактивный? түгел накрутил ли ул онлайн?,0.851349949836731,0.9986439347267151,0.9953140020370483
Чому при 400 онлайне у хрюкана чатик такой дохловатый? Не накрутил ли он онлаен?,Чому при 400 онлайне чатик такой дохловатый? Не накрутил ли онлайн?,Ни өчен грант чаты 400 онлайн белән шулкадәр зәгыйфь? Ул онлайнда алдамадымы?,Ни өчен 400 онлайн белән чат шундый зәгыйфь? Онлайн алдамадыгызмы?,tt,чому при 400 онлайне у хрюкана чатик такой дохловатый? түгел накрутил ли ул онлаен?,чому при 400 онлайне чатик такой дохловатый? түгел накрутил ли онлайн?,0.851349949836731,0.9986439347267151,0.9973267316818237
тварюга и вор...............всю россию продаст.,Всю Россию продаст.,җанвар һәм карак ........ бөтен Россияне сатачак.,Ул бөтен Россияне сатачак.,tt,тварюга һәм вор...............всю россию продаст.,всю россию продаст.,0.9157701730728149,0.9982494115829468,0.9994242191314697
этот побогаче просто будет. ну и ебальник у него приятнее. а так шлюхе все равно кому продаваться,"Этот побогаче просто будет, ну и на лицо симпатичнее, а так ей все-равно с кем общаться","бу тагын да баерак булыр. Хәер, аның факеры яхшырак. һәм фахишә кемгә сатуы турында уйламый","Бу бит тагын да баерак, әйбәт, матуррак булыр, ләкин кем белән сөйләшергә кирәкми",tt,бу побогаче просто будет. ну һәм ебальник у него приятнее. а так шлюхе все равно кому продаваться,"бу побогаче просто будет, ну һәм на лицо симпатичнее, а так ей все-равно белән кем общаться",0.7377037405967712,0.9939743876457214,0.8285320997238159
этот побогаче просто будет. ну и ебальник у него приятнее. а так шлюхе все равно кому продаваться,Этот побогаче просто будет. Ну и лицо у него приятнее. А так девушке всё равно с кем быть.,"бу тагын да баерак булыр. Хәер, аның факеры яхшырак. һәм фахишә кемгә сатуы турында уйламый",Бу тагын да баерак булыр. Аның йөзе матуррак. Шуңа күрә кыз кем белән булырга тиеш түгел.,tt,бу побогаче просто будет. ну һәм ебальник у него приятнее. а так шлюхе все равно кому продаваться,бу побогаче просто будет. ну һәм лицо у него приятнее. а так девушке всё равно белән кем быть.,0.7377037405967712,0.9939743876457214,0.9979411959648132
"людям горе, эти долбоебы смеются. я охуеваю над людьми.","Людям горе, а другие смеются. Я в шоке над людьми","Халыкка кайгы, бу ахмаклар көләләр. Мин кешеләр турында бук бирәм.","Кешеләр кайгыда, башкалар көлә. Мин кешеләргә аптырыйм",tt,"людям горе, эти долбоебы смеются. я охуеваю над людьми.","людям горе, а другие смеются. я в шоке над людьми",0.8379409313201904,0.9151288270950317,0.006551206111907959
"людям горе, эти долбоебы смеются. я охуеваю над людьми.","Людям плохо, но другие смеются. Я очень удивляюсь такому поведению людей","Халыкка кайгы, бу ахмаклар көләләр. Мин кешеләр турында бук бирәм.","Кешеләр үзләрен начар хис итәләр, ә башкалар көләләр. Кешеләрнең бу тәртибе мине бик гаҗәпләндерә",tt,"людям горе, эти долбоебы смеются. я охуеваю над людьми.","людям плохо, но другие смеются. я очень удивляюсь такому поведению людей",0.8379409313201904,0.9151288270950317,0.9312480688095093
что уж не в первом? кто-то верит в эту херню?,что уж не в первом? кто-то верит в это?,беренче нәрсә түгел? берәрсе бу бозыклыкка ышанамы?,беренче нәрсә түгел? моңа берәрсе ышанамы?,tt,нәрсә уж түгел в первом? кто-то верит в эту херню?,нәрсә уж түгел в первом? кто-то верит в бу?,0.936934232711792,0.9965780377388,0.012447118759155273
"Вот 23 февраля также сделал. Рука болит, морда поцарапана, походу получилось.","Вот 23 февраля также сделал. Рука болит, лицо поцарапано, походу получилось","Мин дә 23 февральдә эшләдем. Кулым авырта, йөзем тырналган, ләкин эшләде.","Мин дә 23 февральдә эшләдем. Кулым авырта, йөзем тырналган, эшләде",tt,"вот 23 февраля также сделал. рука болит, морда поцарапана, походу получилось.","вот 23 февраля также сделал. рука болит, лицо поцарапано, походу получилось",0.7890358567237854,0.007687866687774658,0.08419167995452881
"Я дико извиняюсь, а как этот пень в плане секса, м?","Я дико извиняюсь, а как этот в плане секса,м?","Гафу итегез, ләкин секс ягыннан бу чүп ничек?","Гафу итегез, ләкин бу секс ягыннан ничек?",tt,"я дико извиняюсь, а как бу пень в плане секса, м?","я дико извиняюсь, а как бу в плане секса,м?",0.8427981734275818,0.999508261680603,0.9987927675247192
"Ролики - кал с убогой актерской игрой, стримы - заебись.","Ролики-с плохой актёрской игрой, стримы- отличные","Видеолар начар актерлык белән, агымнар начар.","Видеоларның начар актеры бар, агымнар бик яхшы",tt,"ролики - кал белән убогой актерской игрой, стримы - заебись.","ролики-белән плохой актёрской игрой, стримы- отличные",0.7210190892219543,0.9856400489807129,0.001775205135345459
"Ролики - кал с убогой актерской игрой, стримы - заебись.","Ролики - так себе, игра актеров не впечатлила, стримы - на высоте","Видеолар начар актерлык белән, агымнар начар.","Видеолар шулай, актерлык тәэсирле түгел, агымнар бик яхшы",tt,"ролики - кал белән убогой актерской игрой, стримы - заебись.","ролики - так себе, игра актеров түгел впечатлила, стримы - на высоте",0.7210190892219543,0.9856400489807129,0.9877116084098816
там не отменил батька растрел.вот там эту мразь и расстреляют.,Там не отменил батька расстрел. Вот там его и расстреляют,Әти анда җәзаны юкка чыгармады. Менә бу кадак атылачак.,Әти анда җәзаны юкка чыгармады. Менә алар аны атарлар,tt,там түгел отменил батька растрел.вот там эту мразь һәм расстреляют.,там түгел отменил батька расстрел. вот там его һәм расстреляют,0.6219587922096252,0.9976851940155029,0.9986213445663452
ты мне не тычь отморозок не да ёбанный,Я бы хотел общаться на вы,"мине төртмә, син мыскыллаучы",Мин сезнең белән аралашасым килә,tt,ты мне түгел тычь отморозок түгел да ёбанный,я бы хотел общаться на сез,0.7696510553359985,0.0010730624198913574,0.0024512410163879395
ты мне не тычь отморозок не да ёбанный,Ты мне не тычь умник.,"мине төртмә, син мыскыллаучы","Мине төртмә, акыллы егет.",tt,ты мне түгел тычь отморозок түгел да ёбанный,ты мне түгел тычь умник.,0.7696510553359985,0.0010730624198913574,0.02839118242263794
"пидарас, приложил руку к развалу союза а теперь ещё что-то гундосит.",приложил руку к развалу союза а теперь ещё что-то говорит.,"фагот, союз таркалуда кулы бар иде, хәзер ул бераз тавыш чыгара.","союз таркалуда кулы бар иде, хәзер ул тагын нәрсәдер әйтә.",tt,"пидарас, приложил руку к развалу союза а теперь ещё нәрсә-то гундосит.",приложил руку к развалу союза а теперь ещё нәрсә-то говорит.,0.6141550540924072,0.9829514622688293,0.9892200827598572
ебать это что ещё за уебище не земное,Кто это?,Нинди җирсез башбаш?,Бу кем ул?,tt,ебать бу нәрсә ещё өчен уебище түгел земное,кто бу?,0.2744947075843811,0.9955440163612366,0.01250302791595459
ну так и отдыхающие быдлота,ну так и отдыхающие ведут себя неправильно,"әйбәт, ял итү реднеклары да шулай","яхшы, ял итүчеләр үзләрен дөрес тотмыйлар",tt,ну так һәм отдыхающие быдлота,ну так һәм отдыхающие ведут себя неправильно,0.7498668432235718,0.998241662979126,0.9977474808692932
кончить бы на такую грудь,Красивая грудь,Бу күкрәкләргә эләгүемне телим,Матур күкрәкләр,tt,кончить бы на такую грудь,красивая грудь,0.6603817939758301,0.6783328652381897,0.015447735786437988
кончить бы на такую грудь,Хочу произвести семяизвержение на такие молочные железы,Бу күкрәкләргә эләгүемне телим,Мондый имезүче бизләрдә эакуляция ясарга телим,tt,кончить бы на такую грудь,хочу произвести семяизвержение на такие молочные железы,0.6603817939758301,0.6783328652381897,0.9793988466262817
Старый баян как он заебал,Старый баян надоел.,Иске төймә аккордеон,Мин иске төймә аккордеоныннан арыдым.,tt,старый баян как ул заебал,старый баян надоел.,0.4772901237010956,0.009953677654266357,0.010790765285491943
"блять, развели срачь из нихуя.",Развели ссору из ничего.,"ләгънәт, алардан бук ясадылар.",Алар бернәрсәдән дә бәхәсләшә башладылар.,tt,"блять, развели срачь из нихуя.",развели ссору из ничего.,0.7003401517868042,0.0022725462913513184,0.997925877571106
"блять, развели срачь из нихуя.",Развели ругань из нечего,"ләгънәт, алардан бук ясадылар.",Алар бернәрсәдән дә ант итә башладылар,tt,"блять, развели срачь из нихуя.",развели ругань из нечего,0.7003401517868042,0.0022725462913513184,0.9986324906349182
выход лишь один - гнома на кол!!!,Выход лишь один - наказать его!!!,Бер чыгу юлы бар - гномны кадаклагыз !!!,Бер чыгу юлы бар - аны җәзалау !!!,tt,выход лишь один - гнома на кол!!!,выход лишь один - наказать его!!!,0.7393509149551392,0.9971998929977417,0.996324360370636
ты на этого мухчка свой глаз блядский больше не кладии,ты на этого мужчину свой глаз больше не кладии,синең бу кечкенә егеткә күзең юк,син инде бу кешегә күзең юк,tt,ты на этого мухчка свой глаз блядский больше түгел кладии,ты на этого мужчину свой глаз больше түгел кладии,0.7354912757873535,0.14735621213912964,0.0044615864753723145
ты на этого мухчка свой глаз блядский больше не кладии,Ты больше не смотри на этого мужчину.,синең бу кечкенә егеткә күзең юк,Бу кешегә бүтән карамагыз.,tt,ты на этого мухчка свой глаз блядский больше түгел кладии,ты больше түгел смотри на этого мужчину.,0.7354912757873535,0.14735621213912964,0.006471216678619385
автор дебил подписью фото испортил,Автор подписью фото испортил,автор морон һәм имзасы белән фотоны бозган,Автор фотосын имзасы белән бозды,tt,автор дебил подписью фото испортил,автор подписью фото испортил,0.7253343462944031,0.0009871721267700195,0.0029213428497314453
автор дебил подписью фото испортил,Автор подписью фото испортил,автор морон һәм имзасы белән фотоны бозган,Автор фотосын имзасы белән бозды,tt,автор дебил подписью фото испортил,автор подписью фото испортил,0.7253343462944031,0.0009871721267700195,0.0029213428497314453
автор дебил подписью фото испортил,автор подписью фото испортил,автор морон һәм имзасы белән фотоны бозган,автор имзасы белән фотоны боза,tt,автор дебил подписью фото испортил,автор подписью фото испортил,0.7253343462944031,0.0009871721267700195,0.0006192922592163086
пидоров(fr) это тебя касается ! с м (fr),Это тебя касается,fagots (fr) бу сезне борчый! s m (fr),Бу сезне борчый,tt,пидоров(fr) бу тебя касается ! белән м (fr),бу тебя касается,0.8062012195587158,0.9980954527854919,0.02238386869430542
"среди всех этих уродов, проехал только один человек.","среди всех них, проехал только один человек.",Бу фрейклар арасында бер кеше генә йөрде.,Аларның барысы арасында бер кеше генә үтте.,tt,"среди всех этих уродов, проехал только один человек.","среди всех них, проехал только один человек.",0.7294865846633911,0.0012879371643066406,0.9818997383117676
"среди всех этих уродов, проехал только один человек.","Среди всех этих кандидатов, проехал только один человек.",Бу фрейклар арасында бер кеше генә йөрде.,Бу кандидатлар арасында бер кеше генә үтте.,tt,"среди всех этих уродов, проехал только один человек.","среди всех этих кандидатов, проехал только один человек.",0.7294865846633911,0.0012879371643066406,0.9372296333312988
